name,description,address,county,country,email,phone,website,other_categories,contact_name,contact_title,contact_email,contact_phone,year_incorporated,tax_status,accreditation,licenses,transportation_details,tax_form_990_link,annual_report_link,united_way_211_link
RideFinders,"RideFinders provides a free carpool and vanpool ridematching service for commuters in the St. Louis Region. By sharing the ride instead of driving alone, commuters save money, reduce traffic congestion and improve air quality – making the already great communities in the St. Louis region even better places to live, work and study.","One Transit Way PO Box 7500, Granite City, IL 62040","",,"",800.847.7433,http://www.ridefinders.org/,,"","","","",,"","","","","","",""
Rise Together Ministries,"Founded in 2006 by Mr. Worku Geremew, an Ethiopian immigrant himself, Rise Together Ministries currently includes: After-school tutoring Program, Communal Mentoring Program, Furniture and Clothing Ministry, Counseling Program, and Job Development Programs","3646 Fairview Ave, Saint Louis, MO 63116","",,"",314.669.9026,http://risetogetherministries.org/,,"","","","",,"","","","","","",""
Ritenour International Welcome Center,"The International Welcome Center serves Ritenour students from Hoech and Ritenour middle schools, as well as from  Ritenour High School, who need intensive English Language Learner (ELL) support with accelerated English training. The program also provides an introduction to the U.S. culture and school system, and exposure to educational expectations and opportunities.","3312 Ashby Rd, Saint Ann, MO 63074","",,"",314.493.6026,http://www.ritenour.k12.mo.us/domain/493,,"","","","",,"","","","","","",""
Rotary Club International,"Business and professional leaders worldwide, who provide humanitarian service, encourage high ethical standards in all vocations, and help build goodwill and peace.","","",,"","",http://www.rotarystl.org,,"","","","",,"","","","","","",""
Russian American School,"Provide Russian Language and Literature classes, Art and Music classes, Drama Studio, Russian Conversation Club, provide tours in St. Louis Area in Russian, provide English classes, provide interpreters and document translation, consult for cross-cultural adjustments, and support individuals","1166 S Mason Rd, Saint Louis, MO 63131","",,"",314.558.1213,http://www.russian-american.org,,"","","","",,"","","","","","",""
Safe Connections,"Everyone deserves safe connections. That’s why our organization exists. We offer hope before, during and after domestic abuse and sexual violence. Our counseling and support groups help adults and teens from all over the St. Louis region. Our Crisis Helpline is answered by someone who cares 24 hours a day, 365 days a year. Our educators visit schools and colleges sharing skills for keeping relationships free from control and abuse. All our services are free and with no imposed time limits. ","2165 Hampton Ave, Saint Louis, MO 63139","",,"",314.531.2003,https://www.safeconnections.org/,,"","","","",1976,"","","","","","",""
Saint Louis International Spouses Meetup,This meetup is a social group of international women spouses that organize to support new arrivals to settle down and ease the breaking down of cultural barriers.,"","",,"","",https://www.meetup.com/Saint-Louis-International-Spouses-Meetup/,,"","","","",,"","","","","","",""
Scholarship Foundation of St. Louis,The Scholarship Foundation provides access to postsecondary education to members of our community who otherwise would not have the financial means to fulfill their educational goals.,"8215 Clayton Rd Suite 100, Saint Louis, MO 63139","",,"",314.932.6936,https://www.sfstl.org/,,"","","","",,"","","","","","",""
SCORE St. Louis,"Helps small businesses get off the ground and grow, supported by free mentoring, tools, and workshops. St. Louis SCORE beilieves in the importance, value, and power of diversity, including diversity of ethnicity, geography, and experience.","1222 Spruce St Suite 10.103, Saint Louis, MO 63103","",,"",314.539.6602,https://stlouis.score.org/,,"","","","",,"","","","","","",""
South Asian Bar Association of Metropolitan St. Louis,"The South Asian Bar Association of Metropolitan St. Louis (""SABA-StL"") is a non-profit organization dedicated to the needs, concerns and interests of the South Asian American legal community in the Saint Louis Metropolitan area. We support the professional development and advancement of our members through networking, educational events, mentoring and advocacy.","","",,"","",http://www.sabastl.com/,,Malini Lao,President,presidentsabastl@gmail.com,630.363.0871,,"","","","","","",""
St. Francis Catholic Legal Assistance Ministry (CLAM),Catholic Legal Assistance Ministry provides exceptional pro bono legal services and equal access justice to the poor and marginalized in civil matters throughout the 11 counties of the Archdiocese of St. Louis.,"100 N Tucker Blvd Suite 726, Saint Louis, MO 63108","",,"",314.977.2619,https://sfcsstl.org/locations/clam/,,"","","","",,"","","","","","",""
St. Francis Community Services Southside Center,"Southside improves the lives of immigrants in the St. Louis Metropolitan Area.  We specialize in providing bilingual, culturally competent social services for the Latino and Vietnamese populations, offering case management, mental health counseling, and after-school programming.  Southside is a place where immigrants feel safe, understood, and empowered to make a difference in their own lives and in their communities.","4222 Delor St, Saint Louis, MO 63116","",,"",314.773.6100,https://sfcsstl.org/locations/southside/,,"","","","",,"","","","","","",""
St. Joseph Croatian Church,The St. Joseph Croatian Catholic Church was founded in 1904 to serve the Croatian population of the Soulard area in south St. Louis. The church moved to the current location when the parish purchased the property from the Ursuline Sisters in 1927. The church continues to conduct services in Croatian along with English.,"2112 S 12th  St, Saint Louis, MO 63104","",,"",314.771.0958,http://www.stjosephcroatiancatholicchurch.com/about/,,"","","","",,"","","","","","",""
St. Louis County Library,"The mission of the St. Louis County Library District is to provide the resources and services to enrich individual minds, enhance lives and expand perspectives.","1640 S Lindbergh Blvd, Saint Louis, MO 63131","",,"",314.994.3300,https://www.slcl.org/,,Ricqui Brooks,Adult Literacy Coordinator,rbrooks@slcl.org,314.994.3300,1946,"","","","","","",""
Table Wisdom,Award-winning social enterprise that brings together mature Americans and foreign borns for mentoring and conversational English sessions. We help two populations thrive: the foreign-borns and the mature adults.,"2363 Crestline Dr, Saint Louis, MO 63129","",,"",314.594.7620,http://www.tablewisdom.org/,,"","","","",,"","","","","","",""
The Japan News,The Japan News covers Japan and world news in English or Japanese.,"","",,"","",http://the-japan-news.com/,,"","","","",1955,"","","","","","",""
UNICO National St. Louis Chapter,"To promote and enhance the Image of Italian Americans; for members to be of service to the community; to promote Italian heritage and culture; to promote, support and assist charitable, scientific, cultural, educational, and literary projects; to promote members' interest in public welfare; and, to cooperate with others in civic, social and cultural development.","","",,"","",http://www.unico.org/search.asp,,"","","","",,"","","","","","",""
United Nations Association - Greater St. Louis Chapter,"We are dedicated to educating the public, strengthening the UN system, promoting constructive United States leadership, and advocating the goals of the United Nations Charter.","438 N Skinker Blvd, Saint Louis, MO 63130","",,"",314.727.2949,https://www.una-stl.org/,,"","","","",,"","","","","","",""
"African Musical Arts, Inc.","Formerly African Chorus, was founded to foster a better understanding of Africa’s cultures through the musical arts. It presents African-descent composers of choral music, chamber music and orchestra works. African Musical Arts offers seasonal concerts and touring programs, Outloud (a community partnership with various schools and colleges), African Music for Community Healing, African choral music workshops, symposia, and music festivals.","3547 Olive St Suite 110, Saint Louis, MO 63103","",,info@africarts.org,314.652.6800,http://www.africarts.org,,"","","","",1993,501c3,"","","","","",""
"American Jewish Committee, St. Louis Chapter","Provides leadership and guidance for several local coalitions working on, among other issues, church-state separation, public education, and hate crimes legislation.","7751 Carondelet Suite 501, Saint Louis, MO 63105","",,"",314.721.8866,https://www.ajc.org/stlouis,,"","","","",,501c3,"","","",http://www.guidestar.org/FinDocuments/2016/135/563/2016-135563393-0e1a7efb-9.pdf,"",""
American-Czech Educational Center,"To share our Czech Heritage - Culture, language, music, food, genealogy","4690 Lansdowne Avenue, Saint Louis, MO 63116","",,czechcenter.stl@gmail.com,314.752.8168,http://acecstl.org,,"","","","",,"","","","","","",""
Amicale Française,"Amicale Française is a francophone club in St. Louis, Missouri, USA. This is one of the best ways to learn or keep the French language. Come and have a drink at our table and chat in French in a friendly atmosphere. We will meet around a dinner or dessert every two weeks. "," Saint Louis, MO","",,mukai@ese.wustl.edu,"",http://www.ese.wustl.edu/~mukai/pers/Amicale,,Hiro Mukai,"",mukai@ese.wustl.edu,"",,"","","","","","",""
Amistad Hispanohablante,We are a Spanish conversation group. There are no fees but we meet in a restaurant and it is courteous to order something like coffee.,"9119 Olive St, Saint Louis, MO","",,mukai@ese.wustl.edu,"",http://www.ese.wustl.edu/~mukai/pers/Amistad,,"","","","",,"","","","","","",""
Argentine Society of Saint Louis,Preserves and promotes the Argentine culture among its members and all St. Louisans.,"PO Box 6063, Chesterfield, MO 63006","",,argentinesociety@gmail.com,636.789.1816,http://www.argentinesociety.org,,Gloris Taylor-Xynos,President,"","",,"","","","","","",""
Assumption Greek Orthodox Church,Religious services and related activities. Annual festival: Memorial Day weekend.,"1755 Des Peres Rd, Town & Country, MO 63131","",,office@assumptiongoc.org,314.966.2255,http://www.assumptiongoc.org,,Rev. Father Jospeh Strzelecki,Parish Priest,"","",,"","","","","","",""
Assumption Philoptochos Ladies Society,"Raises funds for the Parish, helps parishioners-in-need, contributes to charities both Orthodox & non-Orthodox related.","1755 Des Peres Rd, Saint Louis, MO 63131","",,office@assumptiongoc.org,314.966.2255,http://www.assumptiongoc.org/ministries/philoptochos,,Elefteria Marcou,President,"","",,"","","","","","",""
Austrian American Council/ Missouri und The Austrian Society of St. Louis,"Hosts cultural, social and educational events, lectures, dinners, and an annual Austrian National Celebration.","7136 Kingsbury BLvd, Saint Louis, MO 63130","",,"",314.725.4829,http://www.usaustrians.com/Institutes-Organizations-Austrians-in-USA/3682/austrian-american-councilmissouri-und-the-austrian-society-of-st-louis,,"","","","",,"","","","","","",""
Baha'i Information Center of St. Louis,"This St. Louis Bahá’í web site is a resource for finding out more about local St. Louis Baha’i activity, information about the principles of the Bahá’í Faith, area-wide news, photos, blogs, interfaith events, Bahá’í Study Circles, Devotionals and Neighborhood Children’s Classes.","30 W Lockwood, Saint Louis, MO 63119","",,"",314.942.3115,http://practicalreligion.com,,"","","","",,"","","","","","",""
Bolivian Society of St. Louis,"A social, cultural, and sports organization to maintain unity among Bolivians in the area.","317 Clayton Oaks Dr, Ellisville, MO 63011","",,boliviansocietystl@gmail.com,314.721.5249,http://www.facebook.com/pages/Bolivian-Society-of-St-Louis/151605478215393,,Ninoska Clarkin,President,"","",,"","","","","","",""
Bonsai Society of Greater St. Louis,"The Bonsai Society of Greater St. Louis was established by a small group of bonsai hobbyists to promote the knowledge, interest, and enjoyment of bonsai and other living plants.","4344 Shaw Blvd (Missouri Botanical Gardens), Saint Louis, MO 63110","",,stlouisbonsai@gmail.com,314.477.4549,http://www.stlbonsai.com,,"","","","",,"","","","","","",""
Bosnian Islamic Center,Bosnian Islamic Centre of St. Louis (BICSTL) is Bosniak congregation in St. Louis and part of the Islamic Community of Bosniaks in North America (ICNAB).,"318 Lemay Ferry Rd, Saint Louis, MO 63125","",,bosnianislamiccenterstl@gmail.com,314.730.2929,http://bicstl.tumblr.com/post/140463461028,,"","","","",,"","","","","","",""
Buddhanara Temple of America,Founded in 2002 by Bhikkhuni Sungak of the Chogye Order of Korean Buddhism. Buddhanara Buddhanara Temple hosts numerous activities throughout the year that are open to the public.,"874 Berick Dr, Saint Louis, MO 63132","",,"",314.993.0185,http://www.buddhanara.net,,"","","","",,"","","","","","",""
Buddhist Council of Greater St. Louis,Teaching Buddhism and insight mindfulness meditation practice,"","",,kongsakt@sbcglobal.net,314.878.1014,https://www.facebook.com/BuddhistCouncilSTL/,,"","","","",,"","","","","","",""
Building Union Diversity,"Building Union Diversity is an apprenticeship program with construction unions for minorities, women, and St. Louis residents with or without construction experience, including a Foundation Skills program.","1520 Market St,3rd Floor, Saint Louis, MO 63103",,,,314.657.3545,https://www.stlouis-mo.gov/government/departments/slate/documents/building-union-diversity.cfm,,,,,,,,,,,,,
Caribbean Association of St. Louis,To contribute to the richness and diversity of our Greater St. Louis Metropolitan Area by creating an awareness of and promoting an appreciation for the culture and heritage of the Caribbean. To share these attributes through partnerships and collaboration with other organizations while benefiting our local community and enhancing the quality of life of our fellow citizens in our countries of origin.,"P.O. Box 21545, Saint Louis, MO 63132","",,caribbeanassociationofstlouis@gmail.com,314.398.0351,http://www.caribestl.org/,,"","","","",,"","","","","","",""
Citizens for Global Solutions of Greater St. Louis,Membership organization working to abolish war and promote global citizenship.," 8894 Berkay Ave, Saint Louis, MO 63136","",,rglossop@mindspring.com,"",https://CGSstlouis.wordpress.com,,"","","","",,"","","","","","",""
Civil Rights Enforcement Agency (CREA) - St. Louis,"Works to eliminate, reduce and remedy discrimination in housing, employment, education, city services, public accommodations, real property transactions and uses. A division of St. Louis City government.","1114 Market St,Suite 626, Saint Louis, MO 63101","",,"",314.622.3301,http://stlouis-mo.gov/government/departments/civil-rights-enforcement/,,"","","","",,"","","","","","",""
Civitas Associates,"Civitas organizes Model United Nations programs and activities that promote active citizenship and world awareness for high-school and middle-schools students attending public, private and parochial schools.","10845 Olive Blvd Suite 155, Saint Louis, MO 63141","",,info@civitas-stl.com,314.367.6480,http://www.civitas-stl.com,,"","","","",,"","","","","","",""
Clarkson School of Irish Dance,"Offers Irish Dancing classes to children and adults. Also hosts Children's Tents at Missouri River Irish Festival and AOH Irish Country Fair, providing story telling, face painting, free crafts, and a dance lesson all with traditional Irish themes.","14353 Manchester Rd., Manchester, MO 63011","",,mary_g_clarkson@hotmail.com,314.560.3261,http://clarksonschool.com,,"","","","",,"","","","","","",""
Community Action Agency of St. Louis County (CAASTLC),"Community Action Agency of St. Louis County's Job Readiness classes emphasize employment enhancement skills that will help the candidate locate, land and retain a job. The classes cover topics such as resume writing, interviewing techniques, personal finance, time management, completing an employment application, work place survival skills and basic computer skills.","2709 Woodson Rd, Overland, MO 63114","",,info@caastlc.org,"",http://caastlc.org/programs/employment-development.html,,"","","","",,"","","","","","",""
Dances of India,"Dances of India’s mission is to preserve and broaden the knowledge of the traditions of India through classica/folk dance performances and workshops, as well as by collaborations with local dance companies, and to engage in multicultural outreach activities.","1201 North Warson, Saint Louis, MO 63132","",,info@dancesofindiastlouis.org,314.997.0911,http://www.dancesofindiastlouis.org,,"","","","",,"","","","","","",""
Danish Club of Saint Louis,Danish cultural and language events. Events posted on website on a daily basis,"407 Fairview Ave, Webster Groves, MO 63119","",,"",314.968.2785,http://danishclubofstlouis.org,,"","","","",,"","","","","","",""
Debre Nazareth S. Mary St. Gabriel-Ethiopian Tewahedo Church,Orthodox Ethiopian church,"2221 Northbury Ln, Saint Louis, MO 63114","",,"","",https://www.facebook.com/pages/Debre-Nazareth-St-Mary-St-Gabriel-Ethiopian-Orthodox-Church/600324553458761,,"","","","",,"","","","","","",""
Diversity Awareness Partnership,Promotes the value of diversity in the St. Louis region through collaborative community and school-based education and awareness efforts.,"40 N Rock Hill Rd, Webster Groves , MO 63119","",,"",314.246.3146,http://dapinclusive.org/,,"","","","",2001,501c3,"","","",http://www.guidestar.org/FinDocuments/2016/311/787/2016-311787746-0e6b791a-9.pdf,http://dapinclusive.org/wp-content/uploads/2017/07/DAP-2016-Annual-Report.pdf,""
Educational Opportunity Centers - Metro Area,"The Higher Education Consortium of Metropolitan St. Louis Educational Opportunity Centers (EOCs) provides free services to encourage and assist adults and high school students interested in continuing their education, including career exploration, school selection, résumé and application assistance, and individualized educational counseling.","4236 Lindell Blvd Suite 400, Saint Louis, MO 63108","",,eoc@heccstl.com,314.535.6670,http://www.heccstl.com/educational-opportunity-programs.html,,"","","","",,"","","","","","",""
Epworth Children and Family Services,"Epworth's mission is to help youth and families move toward self-sufficiency by focusing on health, housing, education, and employment.","110 N Elm Ave, Webster Groves, MO 63119","",,"",314.961.5718,http://www.epworth.org/,,Michelle Tucker,CEO,"",314.918.3308,,501c3,"","","",http://www.guidestar.org/FinDocuments/2016/431/069/2016-431069741-0eaa4898-9.pdf,"",""
Esperanto Association of St. Louis,We encourage and promote the use of the International Language Esperanto as an intercultural tool.,"","",,"",314.997.0014,https://esperanto-stl.weebly.com/,,"","","","",,"","","","","","",""
First Korean Presbyterian Church of St. Louis," Korean Presbyterian Church in St. Ann, MO.","3350 Adie Rd., St. Ann, MO 63074","",,stlfirstch@gmail.com,314.395.3719,http://www.stlfkpc.org/,,"","","","",,"","","","","","",""
Fo Guang Shan St. Louis Buddhist Center,"Fo Guang Shan Saint Louis Buddhist Center is one of over 200 branch temples of the Fo Guang Shan International Buddhist Order founded by Venerable Master Hsing Yun. 

The order’s objectives are to promote Humanistic Buddhism which embraces all traditions and schools, and to bring forth faith, joy, hope, and service for all. We hope to establish a Pure Land on earth and integrate the Buddha’s teachings of kindness, compassion, joyfulness, and equanimity into our daily lives.  ","3109 Smiley Rd, Bridgeton, MO 63044","",,fgsstl@gmail.com,314.209.8882,https://fgsstlbc.org/,,"","","","",,"","","","","","",""
Forai,"FORAI (Friends Of Refugees And Immigrants) is a 501(c)3 non-profit founded on fair trade principles that supports refugee and immigrant women as they begin home-based micro-businesses to supplement their incomes through the production of high quality, marketable jewelry and accessories.","","",,foraistlouis@gmail.com,314.308.5620,https://www.forai.org/,,"","","","",,"","","","","","",""
Fratellanza Society,"The Fratellanza Society, is the oldest Italian American Organization in the United States. Devoted to keeping Italian Culture alive in St. Louis since 1866.","P.O. Box 39397, St. Louis, MO 63139","",,events@fratellanza.org,"",http://www.fratellanza.org/,,"","","","",,"","","","","","",""
Friends of Taiwan - Greater St. Louis,"Friends of Taiwan - Greater St. Louis is a non-profit organization exclusively for charitable, educational, religious, or scientific purposes and specifically to promote educational and cultural exchanges between Taiwan and the United States, and to improve the health and welfare of Taiwanese and United States citizens.","","",,"","",http://fotstl.org/,,"","","","",,"","","","","","",""
German American Committee of St. Louis,We provide a way for the public to know about events and get involved in the 18 different German cultural organizations around St. Louis and St. Charles. We keep everyone informed of all of the events via Facebook and our website.,"3652 S Jefferson Ave, Saint Louis, MO 63118","",,dorris.keevenfranke@gmail.com,636.221.1524,https://germanamericancommittee.org/,,"","","","",,"","","","","","",""
German Cultural Society of St. Louis,"German Cultural Society is a not-for- profit, non political organization, whose purpose is to foster educational and benevolent activities, to preserve and advance the German culture, customs, and language, to cultivate German music, songs, and dances in traditional costumes. All of this makes up the German folklore, tradition, and fellowship.","3652 S. Jefferson Ave, St. Louis, MO 63118","",,germanstl.fb@gmail.com,314.771.8368,http://www.germanstl.org/,,"","","","",,"","","","","","",""
Ghanaian Association of Greater St. Louis,Our vision/mission is to promote and provide a network/community of Ghanaian & friends in the greater St. Louis area that will uplift and support each other. Our primary goal is to build strong bonds & relationships within the Ghanaian community and give an opportunity for networking through social events. ,"","",,info@ghanastl.com,"",https://mkt.com/ghanaian-association-of-greater-st-louis,,"","","","",,"","","","","","",""
"Gitana Productions, Inc.","Gitana Productions is an arts and education organization that uses music, dance and drama as vehicles for cross-cultural engagement.","P.O. Box 300322, St. Louis, MO 63130","",,info@gitana-inc.org,314.721.6556,http://www.gitana-inc.org,,Cecilia Nadal,"","","",,"","","","","","",""
Global Village Language Center,Translation and interpretation services for 100 languages.," 8428 Delmar Blvd, Saint Louis, MO 63124","",,info@globalvillagelanguagecenter.com,314.989.9112,http://www.globalvillagelanguagecenter.com/,,"","","","",,"","","","","","",""
Globalwise Communities,"The mission of Globalwise Communities is to inspire interpersonal behavior change for better outcomes, using learnable and applicable skills. Our approach utilizes the social science of human behavior, separating patterns into discrete, observable elements, delivered in micro-lessons.","","",,"","",http://www.globalwisecommunities.org/,,"","","","",,"","","","","","",""
Greater St. Louis Nepali Chautari,"GSTLNC is a non-profit, non-partisan, volunteer based organization created by an energetic group of Nepalese living in St. Louis, Missouri.This organization is established to facilitate social togetherness through different cultural activities. It is an association of Nepalese and friends of Nepal living in and around the Greater St. Louis area.","","",,gstlnc@gstlnc.org,"",http://gstlnc.org/newsite/,,"","","","",,"","","","","","",""
Hindu Temple of St. Louis,"Hindu temple offering religious, spiritual, and educational services.","725 Weidman Rd, Ballwin, MO 63011","",,contact@hindutemplestlouis.org,636.230.3300,http://www.hindutemplestlouis.org/,,"","","","",,"","","","","","",""
HISLA-UMSL,UMSL Hispanic Latino Association promotes Hispanic Latino culture on campus but overall we are here to enjoy the college experience and meet new people.,"1 University Blvd, Saint Louis, MO 63121","",,"","",https://www.facebook.com/HISLA.UMSL.1/,,"","","","",,"","","","","","",""
"Hispanic Festival, Inc.","The Hispanic Festival mission is to help increase regional awareness of the spectrum of cultural contributions made by Hispanic musicians, dancers, artisans, and chefs.  This also serves to preserve these vibrant traditions and to educate the next generations, including the examples of Latin American children who have come to the United States through adoption and who otherwise might not experience these art forms.","PO Box 764, Florissant, MO 63032","",,info@hispanicfestivalstl.com,314.837.6100,https://www.hispanicfestivalstl.com/,,"","","","",,"","","","","","",""
Holy Trinity Bulgarian Eastern Orthodox Church,"The Bulgarian Eastern Orthodox Diocese of the USA, Canada, and Australia exists to proclaim the Gospel of Our Lord Jesus Christ to all people, to teach by both word and deed, to inspire all to lead a life of Orthodox Christian belief, worship, and service to others.","1300 Grand Ave, Madison, IL 62060","",,holytrinitybgstl@gmail.com,314.556.9131,http://bulchurch.com/en/about/,,"","","","",,"","","","","","",""
Holy Virgin Mary & Shoghagat Armenian Church,Armenian orthodox church in St Louis.," 400 Huntwood Rd, Belleville, IL 62226","",,holyshoghagat@sbcglobal.net,"",https://www.bellevillearmenianchurch.org/orig/index.htm,,"","","","",,"","","","","","",""
Hui Hula 'O Punahele (St. Louis Hula),"Our mission is to focus on teaching our community, as well as others about the diverse cultures of Polynesia. We spread the knowledge of these rich islands and their cultures through performances, workshops and volunteering for educational and church programs.","","",,stlouishula@gmail.com,636.219.0837,https://www.facebook.com/stlouishula/,,"","","","",,"","","","","","",""
"Ikenobo Ikebana Society, St. Louis Chapter","Our current headmaster, Sen’ei Ikenobo, is devoted to promote and enhance the beauty and harmony of Ikenobo ikebana worldwide. ","","",,ritazeitz@sbcglobal.net,314.821.2498,https://www.facebook.com/ikebanainternationalstlouis.org/,,"","","","",,"","","","","","",""
Immigrant Service Providers Network,"The Immigrant Service Providers Network (ISPN) supports the foreign-born and their families in the St. Louis region by increasing community resources, advocating for inclusive policies and services, and educating residents and providers.","2725 Clifton Ave, Saint Louis, MO 63139","",,ispninfo@mira-mo.org,314.669.1288,http://www.mira-mo.org/ispn/,,"","","","",,"","","","","","",""
India Association of St. Louis,"India Association of St. Louis (IASTL), is a non-profit organization representing the Indian-American community in the Greater St. Louis, MO, area. Since its inception, India Association of St. Louis has been carrying out an important role in celebrating India’s cultural heritage by bringing the members of the Indian community together on Indian festivals and events of national significance.","P.O. Box 6282, St. Louis, MO 63006","",,indiaassociationofstlouis@gmail.com,314.435.6716,http://iastlouis.org/,,"","","","",,"","","","","","",""
International Folk Dance Association of University City,International Folk Dance Association of University City (IFDA) has been serving the greater St. Louis area for nearly 50 years as a non-profit organization dedicated to the teaching and enjoyment of folk dances and to the sharing of knowledge and appreciation of folk cultures from around the world. IFDA and its activities are open to anyone interested in international folk dancing or folklore. ,"6901 Washington Ave., University City, MO 63130","",,couture3@primary.net,314.786.5098,http://www.stlouisfolkdance.org,,Diana Blanchard,"",diana.blanchard@att.net,"",,"","","","","","",""
International Institute Business Solutions Center,"IIBSC provides top-notch and dependable video, telephonic, and in-person interpretation plus translation services to the region’s businesses and organizations. IIBSC offers specialty languages including Swahili, Nepalese, Oromo, Arabic, Dari, and Somali. Today, IIBSC’s interpretation, translation, training, and consulting services annually contribute the bottom line of hundreds of local, regional, and worldwide businesses. Cross-cultural workforce training is also available.","3401 Arsenal St, Saint Louis, MO 63118","",,info@iistl.org,314.773.9090,http://iibscstl.org,,"","","","",,"","","","","","",""
International Shaolin Wushu Center,Kung fu and lion dance performance.,"10443 Breckenridge Rd, St. Ann, MO 63074","",,info@shaolinwushucenter.com,314.308.3683,http://shaolinwushucenter.com,,Paul Lee,"","","",,"","","","","","",""
Iranian-American Cultural Society of the Midwest,"","PO Box 4425, Chesterfield, MO 63006","",,iacsmw@gmail.com,"",http://www.iacsmw.com/,,"","","","",,"","","","","","",""
Iranians in St. Louis,"Magazine providing Iranians in STL with news, events, and updates of restaurants, markets, health centers.","","",,zamirans@gmail.com,"",https://irstl.weebly.com/,,"","","","",,"","","","","","",""
Islamic Community Center,Islamic Community Center (ICC) is the oldest Bosniak congregation in Saint Louis.,"4666 Landsdowne Ave, Saint Louis, MO 63116","",,iccsaintlouis@gmail.com,314.352.2700,https://islamstl.org/,,"","","","",,"","","","","","",""
Italian American Heritage Corporation ,"The Italian American Heritage Corporation is one of the oldest Italian American organization in the United States. It was organized on November 11, 1866 and is composed of many St. Louis Italian-American Organizations.","","",,"","",https://www.facebook.com/ItalianAmericanHeritageCorporation/,,"","","","",,"","","","","","",""
Japan America Society of St. Louis,The Japan-America Society of Saint Louis was founded in 1967 with the mission to promote the exchange and understanding between the people of Japan and the United States.,"366 SSB UMSL 1 University Blvd, St. Louis, MO 63121","",,cisjas@umsl.edu,314.516.5754,https://jasstl.org/,,"","","","",,"","","","","","",""
Japan America Society Women's Association,JASWA is a nonprofit organization that supports local school programs and other organizations that provide opportunities to learn about Japanese culture. JASWA also supports organizations that provide services for St. Louis area immigrants.,"","",,"","",http://www.jaswa-stlouis.org,,"","","","",,"","","","","","",""
Japanese International Harvest Church, Japanese International Harvest Church (JIHC) is a church that tries to lead many Japanese to Christ. The service starts at 10:00 AM every Sunday.,"9125 Manchester Rd, Brentwood, MO 63144","",,"",314.968.0600,https://www.facebook.com/pg/JapaneseInternationalHarvestChurch/about/?ref=page_internal,,"","","","",,"","","","","","",""
Jewish Federation of St. Louis,"Established in 1901, this umbrella organization raises and distributes funds to 48 local and worldwide social and human service agencies and programs that serve people of all ages, races and religions.","12 Millstone Campus Dr, Saint Louis, MO 63146","",,Jfed@Jfedstl.org,314.432.0020,http://www.jfedstl.org/,,"","","","",1901,501c3,"","", ,https://239ccn1ztp391jn63j3to118-wpengine.netdna-ssl.com/wp-content/uploads/2016/03/Jewish-Federation-2016-990-Public-Disclosure-Copy.pdf;,https://239ccn1ztp391jn63j3to118-wpengine.netdna-ssl.com/wp-content/uploads/2016/03/JFedAnnualReport.pdf,""
Jews United for Justice - St. Louis,"Jews United for Justice - St. Louis works in coalition with partners and allies for the goals of economic, social and racial justice in the St. Louis region.","","",,info@jujstl.org,"",http://www.jujstl.org,,"","","","",,501c3,"","","",http://www.guidestar.org/FinDocuments/2016/522/346/2016-522346578-0e9b1bfd-9.pdf,"",""
Kenyan Community of St. Louis,"Mission is to work with absolute devotion by sharing through educating, inspiring, growing and nurturing within the Kenyan Community of St. Louis and its environs.","","",,"","",https://goo.gl/8jCUiR,,"","","","",,"","","","","","",""
Korean Hope Presbyterian Church,Mission is to guide people of all backgrounds into a personal relationship with Jesus Christ.,"2210 McKelvey Rd, Maryland Heights, MO 63043","",,"",314.275.2661,http://hopestl.org/,,"","","","",,"","","","","","",""
Korean Presbyterian Church of St. Louis,"Whether you are feeling lost in your life, or wanting to know the true meaning of what life is about, whether you are someone who desires to grow in your relationship with the Creator God, or simply to find a believing community, we invite you to our church.","11032 Manchester Rd, Kirkwood, MO 63122","",,"",314.984.9466,http://em.kpcstl.org,,"","","","",,"","","","","","",""
Kud Djerdan,"Kud Djerdan gives each of the seventy+ first generation Bosnian Americans the opportunity to continue and learn about their culture and preserve the native language in reading, writing, dancing and singing. Kud Djerdan is a registered 501(c)3 non-profit organization whose mission is to promote a healthy learning environment while preserving the Bosnian dance.","","",,kuddjerdanstl@yahoo.com,"",https://www.facebook.com/KUDDjerdanSTL/,,"","","","",,"","","","","","",""
Light of Christ LCMS Church,Light of Christ Lutheran Chinese Mission focuses on sharing the good news with Chinese. ,"9733 Olive Blvd, Saint Louis, MO 63132","",,bshaw@lightofchristmission.org,314.993.2394,http://www.lightofchristmission.org/,,"","","","",,"","","","","","",""
Lighthouse Chinese Church,"","6490 Clayton Ave, Saint Louis, MO 63139","",,"",314.541.5089,http://missouri.jinti.net/yellowpages/389_l0/D41474.html,,"","","","",,"","","","","","",""
Lithuanian American Community of Greater St. Louis,The Lithuanian American Community (LAC) of Greater St. Louis is open to all Lithuanians or those who have an interest in the Baltic country.,"",,,,,https://www.facebook.com/STLLAC/,,,,,,,,,,,,,
Los Flamencos,"Los Flamencos offer Flamenco shows, Flamenco dance classes & Flamenco guitar lessons in the St. Louis metropolitan area. Los Flamencos are available for all types of Flamenco performances; workshops, festivals, fundraisers, restaurants & corporate parties. ","","",,losflamencos@yahoo.com,314.954.5594,http://www.los-flamencos.com,,"","","","",,"","","","","","",""
